公司代號,公司名稱,市場別,財簽事務所,財簽會計師,[永續報告書] 狀態,[永續報告書] 申報日,[永續報告書] 有會計師確信,[永續報告書] 確信出具者,[永續報告書] 確信準則,[永續報告書] 確信等級,[永續報告書] 確信範圍,[永續報告書] 有第三方查證,[永續報告書] 查證機構,[永續報告書] 查證標準,[永續報告書] 確信者為安永,[溫室氣體] 已申報,[溫室氣體] 範疇一排放量,[溫室氣體] 範疇二排放量,[溫室氣體] 範疇一確信範圍,[溫室氣體] 範疇一確信意見,[溫室氣體] 有確信報告,[溫室氣體] 確信報告出具者,[溫室氣體] 出具者類型,[溫室氣體] 確信者為安永,【綜合】重疊態樣,【綜合】待補資料,資料來源,需人工確認
8464,億豐,上市,安永聯合會計師事務所,陳明宏、涂清淵,已出版,2026/08/12,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 永續會計準則委員會(SASB)之行業指標",否,,,是,是,78.0000,"2,097.0000",N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=8464&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=8464&year=2025&lang=zh-TW,否
8467,波力-KY,上市,安永聯合會計師事務所,羅文振、陳明宏,已出版,2026/08/26,否,,,,,否,,,無確信,是,0.0000,0.0000,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=8467&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=8467&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8489,三貝德,上櫃,安永聯合會計師事務所,羅筱靖、鄭清標,已出版,2026/08/31,否,,,,,否,,,無確信,是,9.7139,161.9385,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8489&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8489&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8908,欣雄,上櫃,安永聯合會計師事務所,姚世傑、胡子仁,已出版,2026/08/21,否,,,,,否,,,無確信,是,373.4317,146.2217,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8908&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8908&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8924,大田,上櫃,安永聯合會計師事務所,陳政初、李芳文,已出版,2026/08/25,否,,,,,否,,,無確信,是,"1,713.7379","15,649.5922",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8924&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8924&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8936,國統,上櫃,安永聯合會計師事務所,洪國森、姚世傑,已出版,2026/08/25,是,秉承聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 永續會計準則委員會(SASB)之行業指標",否,,,否,是,"3,150.2795","10,172.8576","已完成母公司,國統國際股份有限公司：2400.3822已確信
國洋環境科技股份有限公司：749.8973預計8月確信",有限確信,是,秉承聯合會計師事務所,會計師事務所,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8936&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8936&year=2025&lang=zh-TW,否
8940,新天地,上市,安永聯合會計師事務所,黃宇廷、黃子評,已出版,2026/08/14,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,永續報告書符合GRI永續性報導準則,否,,,是,是,"2,012.0549","3,628.1883",N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=8940&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=8940&year=2025&lang=zh-TW,否
9906,欣巴巴,上市,安永聯合會計師事務所,陳政初、李芳文,已出版,2026/08/25,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,永續報告書符合GRI永續性報導準則,否,,,是,是,4.0310,53.6691,N/A,,是,（未具名）,未具名,無從辨識,僅永續報告書確信重疊,溫室氣體出具者無從辨識,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9906&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9906&year=2025&lang=zh-TW,是：溫室氣體確信報告：上傳者為盤查報告書，外部查證單位欄位空白
9911,櫻花,上市,安永聯合會計師事務所,黃宇廷、黃子評,已出版,2026/08/31,否,,,,,否,,,無確信,是,724.3581,"3,154.4141",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9911&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9911&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
9917,中保科,上市,安永聯合會計師事務所,余倩如、王瑄瑄,已出版,2026/08/20,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,2025年永續報告書選定之永續績效資訊,是,安永聯合會計師事務所,確信準則3000號,是,是,"3,236.6777","5,282.2091",N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9917&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9917&year=2025&lang=zh-TW,否
9934,成霖,上市,安永聯合會計師事務所,涂清淵、羅文振,已出版,2026/08/19,否,,,,,否,,,無確信,是,23.2900,380.8590,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9934&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9934&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
9937,全國,上市,安永聯合會計師事務所,張正道、黃建澤,已出版,2026/08/26,否,,,,,否,,,無確信,是,254.3200,"4,660.4600",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9937&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9937&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
9950,萬國通,上櫃,安永聯合會計師事務所,姚世傑、胡子仁,已出版,2026/08/31,否,,,,,否,,,無確信,是,171.6677,"3,869.3154",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=9950&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=9950&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
9955,佳龍,上市,安永聯合會計師事務所,鄭清標、林政緯,已出版,2026/08/31,是,正大聯合會計師事務所 Grant Thornton Taiwan,確信準則3000號(原公報第一號),有限確信,消耗能源總量(GRI302)、外購電力百分比(GRI302)、再生能源使用率(GRI302)、總用水量(GRI303)、廢棄物總重量(GRI306),否,,,否,是,217.2951,961.2763,已完成合併財務報表之母子公司,有限確信,是,正大聯合會計師事務所（Grant Thornton）,會計師事務所,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9955&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9955&year=2025&lang=zh-TW,否
9958,世紀鋼,上市,安永聯合會計師事務所,林政緯、陳國帥,已出版,2026/08/27,否,,,,,是,TUV台灣德國萊因技術監護顧問股份有限公司,AA1000 第1類型(Type1) 中度保證,無確信,是,"7,013.1448","14,307.1990",已完成母公司,合理保證等級,是,台灣德國萊因技術監護顧問股份有限公司（TÜV Rheinland）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=9958&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=9958&year=2025&lang=zh-TW,否
