公司代號,公司名稱,市場別,財簽事務所,財簽會計師,[永續報告書] 狀態,[永續報告書] 申報日,[永續報告書] 有會計師確信,[永續報告書] 確信出具者,[永續報告書] 確信準則,[永續報告書] 確信等級,[永續報告書] 確信範圍,[永續報告書] 有第三方查證,[永續報告書] 查證機構,[永續報告書] 查證標準,[永續報告書] 確信者為安永,[溫室氣體] 已申報,[溫室氣體] 範疇一排放量,[溫室氣體] 範疇二排放量,[溫室氣體] 範疇一確信範圍,[溫室氣體] 範疇一確信意見,[溫室氣體] 有確信報告,[溫室氣體] 確信報告出具者,[溫室氣體] 出具者類型,[溫室氣體] 確信者為安永,【綜合】重疊態樣,【綜合】待補資料,資料來源,需人工確認
6712,長聖,上櫃,安永聯合會計師事務所,柯雅婷、黃子評,已出版,2026/08/28,否,,,,,否,,,無確信,是,0.0000,996.2630,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=6712&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=6712&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
6771,平和環保-創,上市,安永聯合會計師事務所,洪國森、陳政初,已出版,2026/08/11,是,青山永續聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,"永續報告書符合GRI永續性報導準則, 所屬產業之永續指標, 永續會計準則委員會(SASB)之行業指標",否,,,否,是,564.5417,"2,501.4400",已完成合併財務報表之母子公司,有限確信,是,青山永續聯合會計師事務所,會計師事務所,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=6771&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=6771&year=2025&lang=zh-TW,否
6805,富世達,上市,安永聯合會計師事務所,洪國森、黃子評,已出版,2026/08/19,否,,,,,否,,,無確信,是,479.3892,"7,143.4738",已完成合併財務報表之母子公司,合理保證等級,是,華測認證有限公司（CTI）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=6805&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=6805&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
6855,數泓科,上櫃,安永聯合會計師事務所,黃宇廷、羅文振,已出版,2026/08/21,否,,,,,否,,,無確信,是,5.4323,160.9420,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=6855&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=6855&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
6870,騰雲,上櫃,安永聯合會計師事務所,馬君廷、林孟賢,已出版,2026/08/24,否,,,,,否,,,無確信,是,7.3797,106.0684,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=6870&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=6870&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
6894,衛司特,上櫃,安永聯合會計師事務所,羅文振、陳明宏,已出版,2026/08/17,否,,,,,否,,,無確信,是,31.7258,36.3735,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=6894&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=6894&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
6907,雅特力-KY,上櫃,安永聯合會計師事務所,胡慎緁、郭紹彬,尚未出版,,不適用,,,,,不適用,,,不適用,是,1.1634,433.2920,已完成合併財務報表之母子公司,有限保證等級,是,台灣檢驗科技股份有限公司（SGS）,驗證／查驗機構,否,無重疊,永續報告書未出版,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=6907&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=6907&year=2025&lang=zh-TW,是：溫室氣體確信報告：SGS 意見書內文所載受查公司為「智原科技」而非雅特力，疑上傳錯檔或範本誤植
7631,聚賢研發-創,上市,安永聯合會計師事務所,黃靖雅、羅文振,已出版,2026/08/12,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,永續報告書符合GRI永續性報導準則,否,,,是,是,30.7050,47.2140,N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=7631&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=7631&year=2025&lang=zh-TW,否
7642,昶瑞機電,上櫃,安永聯合會計師事務所,羅文振、陳明宏,已出版,2026/08/27,是,KPMG 安侯建業聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,永續報告書符合GRI永續性報導準則,否,,,否,是,24.7220,82.5810,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=7642&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=7642&year=2025&lang=zh-TW,否
7711,永擎,上市,安永聯合會計師事務所,張巧穎、余倩如,已出版,2026/08/20,否,,,,,是,台灣德國北德技術監護顧問股份有限公司(TUV NORD),AA1000 第1類型(Type1) 中度保證,無確信,是,55.6156,"1,048.4407",已完成母公司,合理保證等級,是,立恩威國際驗證股份有限公司（DNV）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=7711&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=7711&year=2025&lang=zh-TW,否
